Couse Code,Course Name,Type of Elective,Year1,Pre-requisite ,Credits,Future Course Options,Subject,Course Description,Advisors note,  
CAS MA 123,Calculus 1,Mandatory,Freshman 1,No Prerequisite.,4,CAS MA 124; CAS PY 211,,Limits; derivatives; differentiation of algebraic and transcendental functions. Applications to maxima$ minima$ and convexity of functions. The definite integral; the fundamental theorem of integral calculus. ,NULL,  
ENG EK 100,Freshmen Seminar,Mandatory,Freshman 1,No Prerequisite.,0,Not identified.,,This first-year experience course introduces students to Boston University$the College of Engineering$ and the field of engineering. Students meet with faculty and student advisors and attend lectures to broaden their knowledge of the inner workings of the College and to gain a better understanding of engineering as a discipline and the ethical responsibilities of an engineer. Includes academic policies and special programs along with support services.,NULL,  
CAS CH 131,Principles of Gen Chemistry,Mandatory,Freshman 1,No Prerequisite.,4,Not identified.,,A one-semester$ terminal general chemistry course for students who do not require a two-semester sequence. Lecture topics include stoichiometry; atomic and molecular structure; theories of bonding; chemistry of the solid$ liquid$ and gaseous states; properties of solutions; chemical thermodynamics; equilibrium; acids and bases; electrochemistry. Laboratory includes training in basic laboratory techniques such as data collection and recording$ statistical interpretation of data$ solution preparation$ titrations$ conducting chemical reactions$ use of spectrophotometers$ pH and voltmeters. ,NULL,  
ENG EK 125,Programming for Engineers,Mandatory,Freshman 1,No Prerequisite.,4,ENG EC 327,,An introduction to programming concepts and modern computational environments used to solve engineering problems. Basic procedural programming concepts including input/output$ selection$ looping$ functions$ data structures (arrays$ strings$ structures)$ pointers$ and memory management. Introduction to object-oriented programming concepts and terminology and event-driven programming. Emphasis on programming style$ debugging$ top-down design and modular code. Introduction to a command line interface and a high-level language. ,NULL,  
ENG EK 127,Engineering Computation,Mandatory,Freshman 2,No Prerequisite.,4,Not identified.,,An introduction to engineering problem solving using a modern computational environment. Basic procedural programming concepts include input/output$ branching$ looping$ functions$ file input/output$ and data structures such as arrays and structures. An introduction to basic linear algebra concepts such as matrix operations and solving sets of equations. Introduction to numerical methods$ for example least squares solutions and their use for curve fitting. Programming projects provided by all College of Engineering departments will reinforce these concepts and introduce engineering freshmen to the various disciplines.Students completing ENG EK 127 will not receive additional credit for ENG EK 128 and/or CAS CS 111. ,NULL,  
CAS MA 124,Calculus 2,Mandatory,Freshman 2,CAS MA 123,4,CAS MA 225,, Logarithmic$ exponential$ and trigonometric functions. Sequences and series; Taylor's series with the remainder. Methods of integration. Calculus I and II together constitute an introduction to calculus of a function of a single real variable. Carries MCS divisional credit in CAS. ,NULL,  
CAS PY 211,Physics 1,Mandatory,Freshman 2,CAS MA 123,4,CAS PY 212; ENG EK 301,,Calculus-based introduction to basic principles of physics$ emphasizing Newtonian mechanics$ conservation laws$ and thermodynamics. For science majors and engineers$ and for premedical students who seek a more analytical course than CAS PY 105/106. Interactive$ student-centered lectures$ discussion$ and laboratory. ,NULL,  
ENG EK 131,Intro to Engineering,Mandatory,Freshman 2,No Prerequisite.,2,Not identified.,,Introduction to engineering analysis and/or design through a sequence of two modules or minicourses chosen from a selection of modules offered by participating engineering faculty. Each module presents students with key concepts and techniques relevant to an applied area of engineering.,NULL,  
ENG EK 103,Computational Linear Algebra,Mandatory,Freshman 2,No Prerequisite.,3,ENG EK 381,,This is a course on understanding$ manipulating$ and applying linear systems of equations and$ more broadly$ linear relationships between variables. The ideas and tools you will learn are immensely useful in a wide variety of application domains$ including physics$ engineering$ big data$ data visualization$ and more. You will become familiar with vectors and matrices$ linear systems of equations$ vector spaces$ inner products$ eigenvectors and eigenvalues and the more general singular values. You will also learn to interpret matrices as linear transformations and to understand the geometrical interpretation for operations such as solving linear systems of equations and least-squares fitting of data to models. Throughout the course$ the tools will be related to specific applications to show how linear algebra is used to solve real-world problems. Examples include Google's PageRank algorithm$ cryptography$ coding theory$ genetics$ bioinformatics$ image compression$ linear programming (optimization)$ networks$ and Markov chains.,NULL,  
CAS MA 225,Multivariable Calculus,Mandatory,Sophomore 1,CAS MA 124,4,CAS MA 226; ENG EK 301; ENG EK 381,,Vectors$ lines$ planes. Multiple integration$ cylindrical and spherical coordinates. Partial derivatives$ directional derivatives$ scalar and vector fields$ the gradient$ potentials$ approximation$ multivariate minimization$ Stokes's and related theorems. ,NULL,  
